CustomerID,Churn,Tenure,Gender,HourSpendOnApp,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Gender_encoded,MaritalStatus_encoded,recency_risk,order_rate,low_order_flag,cashback_per_month,coupon_usage_rate,low_engagement,dissatisfied,engagement_score,churn_risk_score
50017,1,0.0,Female,3.0,2,Single,2,1,1.0,1.0,0.0,129.26,0,2,0,1.0,1,129.26,0.5,0,1,1.9000000000000001,0.45
50018,1,0.0,Male,2.0,3,Single,2,1,1.0,1.0,3.0,157.44,1,2,0,1.0,1,157.44,0.5,0,1,1.5000000000000002,0.45
50019,1,0.0,Male,3.0,3,Single,2,1,1.0,1.0,6.0,160.74,1,2,0,1.0,1,160.74,0.5,0,1,1.9000000000000001,0.45
50020,1,19.0,Female,3.0,4,Divorced,10,1,1.0,4.0,3.0,149.63,0,0,0,0.2,0,7.4815,0.2,0,1,3.9000000000000004,0.2
50021,1,0.0,Male,3.0,3,Divorced,5,1,6.0,7.0,7.0,161.72,1,0,0,7.0,0,161.72,0.75,0,1,5.1,0.2
50022,1,20.0,Female,3.0,2,Divorced,2,0,11.0,15.0,6.0,203.12,0,0,0,0.7142857142857143,0,9.672380952380953,0.6875,0,1,8.5,0.2
50023,1,9.0,Male,2.0,3,Single,2,1,0.0,1.0,0.0,116.75,1,2,0,0.1,1,11.675,0.0,0,1,1.4000000000000001,0.45
50024,1,0.0,Female,3.0,3,Divorced,4,1,1.0,2.0,2.0,145.59,0,0,0,2.0,1,145.59,0.3333333333333333,0,1,2.5,0.45
50025,1,14.0,Male,2.0,2,Single,3,0,0.0,1.0,3.0,206.5,1,2,0,0.06666666666666667,1,13.766666666666667,0.0,0,1,1.5000000000000002,0.45
50026,1,0.0,Female,2.0,5,Single,8,0,1.0,1.0,4.0,142.0,0,2,0,1.0,1,142.0,0.5,0,0,2.1,0.25
50027,0,8.0,Male,3.0,4,Divorced,2,0,1.0,1.0,6.0,172.95,1,0,0,0.1111111111111111,1,19.216666666666665,0.5,0,0,1.9000000000000001,0.25
50028,0,9.0,Male,2.0,3,Divorced,3,1,0.0,4.0,5.0,123.06,1,0,0,0.4,0,12.306000000000001,0.0,0,1,2.7,0.2
50029,0,18.0,Male,2.0,4,Married,9,0,1.0,1.0,15.0,123.48,1,1,1,0.05263157894736842,1,6.498947368421053,0.5,0,0,2.2,0.55
50030,0,5.0,Female,2.0,2,Single,2,0,2.0,3.0,7.0,189.98,0,2,0,0.5,0,31.66333333333333,0.5,0,1,2.4000000000000004,0.2
50031,0,2.0,Male,2.0,3,Divorced,2,0,0.0,1.0,9.0,143.19,1,0,0,0.3333333333333333,1,47.73,0.0,0,0,1.4000000000000001,0.25
50032,0,0.0,Male,2.0,3,Divorced,3,0,1.0,1.0,0.0,161.32,1,0,0,1.0,1,161.32,0.5,0,0,1.6000000000000003,0.25
50033,0,30.0,Female,3.0,4,Divorced,5,1,1.0,1.0,0.0,133.46,0,0,0,0.03225806451612903,1,4.305161290322581,0.5,0,1,2.2,0.45
50034,0,13.0,Male,3.0,2,Divorced,8,0,2.0,2.0,11.0,208.55,1,0,1,0.14285714285714285,1,14.896428571428572,0.6666666666666666,0,1,3.0,0.75
50035,0,9.0,Female,3.0,3,Divorced,7,0,1.0,1.0,2.0,122.31,0,0,0,0.1,1,12.231,0.5,0,0,2.4000000000000004,0.25
50036,0,0.0,Male,3.0,2,Divorced,2,0,0.0,2.0,2.0,123.23,1,0,0,2.0,1,123.23,0.0,0,1,2.2,0.45
50037,0,9.0,Male,2.0,4,Married,7,0,0.0,2.0,2.0,120.24,1,1,0,0.2,1,12.024,0.0,0,0,2.3000000000000003,0.25
50038,0,1.0,Male,3.0,2,Divorced,2,0,0.0,1.0,2.0,127.13,1,0,0,0.5,1,63.565,0.0,0,1,1.8,0.45
50039,0,30.0,Male,2.0,2,Married,4,1,1.0,1.0,4.0,194.39,1,1,0,0.03225806451612903,1,6.2706451612903225,0.5,0,1,1.7000000000000002,0.45
50040,0,0.0,Male,3.0,3,Married,2,1,0.0,1.0,1.0,125.66,1,1,0,1.0,1,125.66,0.0,0,1,1.8,0.45
50041,0,23.0,Female,2.0,4,Single,4,0,2.0,4.0,4.0,299.26,0,2,0,0.16666666666666666,0,12.469166666666666,0.4,0,0,3.0000000000000004,0.0
50042,0,14.0,Male,2.0,3,Married,5,0,1.0,1.0,8.0,124.51,1,1,0,0.06666666666666667,1,8.300666666666666,0.5,0,0,1.8000000000000003,0.25
50043,0,3.0,Female,2.0,2,Divorced,3,0,2.0,7.0,4.0,194.19,0,0,0,1.75,0,48.5475,0.25,0,1,4.1000000000000005,0.2
50044,0,11.0,Female,2.0,2,Single,5,0,1.0,1.0,1.0,186.86,0,2,0,0.08333333333333333,1,15.571666666666667,0.5,0,1,1.8000000000000003,0.45
50045,0,5.0,Male,3.0,3,Single,4,0,0.0,1.0,4.0,130.38,1,2,0,0.16666666666666666,1,21.73,0.0,0,0,2.0,0.25
50046,0,0.0,Male,3.0,4,Divorced,1,1,1.0,1.0,1.0,130.58,1,0,0,1.0,1,130.58,0.5,0,1,1.8000000000000003,0.45
50047,1,0.0,Female,3.0,5,Single,1,0,1.0,1.0,0.0,123.25,0,2,0,1.0,1,123.25,0.5,0,0,1.8000000000000003,0.25
50048,0,9.0,Male,1.0,4,Single,5,0,4.0,7.0,2.0,120.88,1,2,0,0.7,0,12.088,0.5,1,0,4.1000000000000005,0.25
50049,0,3.0,Male,3.0,5,Married,2,0,0.0,6.0,10.0,130.72,1,1,0,1.5,0,32.68,0.0,0,0,3.8000000000000007,0.0
50050,0,18.0,Female,1.0,5,Married,5,1,0.0,1.0,3.0,150.06,0,1,0,0.05263157894736842,1,7.8978947368421055,0.0,1,1,1.3,0.7
50051,0,29.0,Female,3.0,5,Married,5,1,1.0,2.0,2.0,142.57,0,1,0,0.06666666666666667,1,4.7523333333333335,0.3333333333333333,0,1,2.6,0.45
50052,0,6.0,Male,2.0,2,Single,1,0,0.0,1.0,2.0,125.0,1,2,0,0.14285714285714285,1,17.857142857142858,0.0,0,1,1.3000000000000003,0.45
50053,1,0.0,Male,2.0,2,Single,2,0,0.0,1.0,0.0,111.02,1,2,0,1.0,1,111.02,0.0,0,1,1.4000000000000001,0.45
50054,0,19.0,Female,3.0,5,Married,2,0,4.0,15.0,7.0,204.53,0,1,0,0.75,0,10.2265,0.25,0,0,7.800000000000001,0.0
50055,0,9.0,Female,3.0,2,Single,2,0,1.0,2.0,1.0,122.88,0,2,0,0.2,1,12.288,0.3333333333333333,0,1,2.3000000000000003,0.45
50056,0,4.0,Female,3.0,2,Divorced,9,1,1.0,1.0,2.0,139.29,0,0,0,0.2,1,27.857999999999997,0.5,0,1,2.6,0.45
50057,0,9.0,Female,3.0,4,Single,3,0,1.0,1.0,2.0,123.11,0,2,0,0.1,1,12.311,0.5,0,0,2.0,0.25
50058,1,4.0,Female,3.0,4,Single,2,1,0.0,1.0,2.0,131.4,0,2,0,0.2,1,26.28,0.0,0,1,1.8,0.45
50059,0,23.0,Male,2.0,3,Divorced,3,0,0.0,1.0,2.0,136.9,1,0,0,0.041666666666666664,1,5.704166666666667,0.0,0,0,1.5000000000000002,0.25
50060,0,26.0,Female,2.0,5,Married,2,0,1.0,1.0,3.0,144.5,0,1,0,0.037037037037037035,1,5.351851851851852,0.5,0,0,1.5000000000000002,0.25
50061,0,6.0,Female,3.0,4,Divorced,2,0,0.0,1.0,6.0,127.56,0,0,0,0.14285714285714285,1,18.222857142857144,0.0,0,0,1.8,0.25
50062,0,13.0,Female,2.0,3,Divorced,2,0,1.0,9.0,9.0,290.33,0,0,0,0.6428571428571429,0,20.73785714285714,0.1,0,0,4.7,0.0
50063,0,28.0,Male,3.0,4,Single,9,0,1.0,2.0,15.0,287.22,1,2,1,0.06896551724137931,1,9.904137931034484,0.3333333333333333,0,0,3.0,0.55
50064,0,7.0,Male,2.0,3,Divorced,2,0,0.0,1.0,9.0,195.47,1,0,0,0.125,1,24.43375,0.0,0,0,1.4000000000000001,0.25
50065,0,24.0,Female,3.0,4,Single,4,0,0.0,2.0,0.0,237.34,0,2,0,0.08,1,9.4936,0.0,0,0,2.4,0.25
50066,0,25.0,Male,3.0,3,Divorced,1,0,1.0,11.0,9.0,299.99,1,0,0,0.4230769230769231,0,11.538076923076924,0.08333333333333333,0,0,5.8,0.0
50067,0,9.0,Female,2.0,4,Single,2,0,1.0,1.0,3.0,122.79,0,2,0,0.1,1,12.279,0.5,0,0,1.5000000000000002,0.25
50068,1,0.0,Male,2.0,3,Divorced,4,1,1.0,1.0,1.0,159.16,1,0,0,1.0,1,159.16,0.5,0,1,1.7000000000000002,0.45
50069,0,9.0,Male,2.0,2,Married,5,0,0.0,2.0,2.0,120.89,1,1,0,0.2,1,12.089,0.0,0,1,2.1,0.45
50070,0,18.0,Male,3.0,2,Divorced,10,0,1.0,11.0,8.0,267.92,1,0,0,0.5789473684210527,0,14.101052631578948,0.08333333333333333,0,1,6.7,0.2
50071,0,10.0,Male,3.0,5,Divorced,2,1,0.0,1.0,7.0,135.64,1,0,0,0.09090909090909091,1,12.33090909090909,0.0,0,1,1.8,0.45
50072,0,8.0,Female,2.0,4,Single,6,0,1.0,1.0,2.0,144.25,0,2,0,0.1111111111111111,1,16.02777777777778,0.5,0,0,1.9000000000000004,0.25
50073,0,15.0,Female,2.0,3,Married,3,0,0.0,1.0,2.0,152.65,0,1,0,0.0625,1,9.540625,0.0,0,0,1.5000000000000002,0.25
50074,0,11.0,Male,2.0,3,Divorced,10,0,0.0,1.0,0.0,165.53,1,0,0,0.08333333333333333,1,13.794166666666667,0.0,0,0,2.2,0.25
50075,0,11.0,Male,2.0,2,Divorced,4,0,0.0,1.0,7.0,162.61,1,0,0,0.08333333333333333,1,13.550833333333335,0.0,0,1,1.6,0.45
50076,0,0.0,Male,2.0,5,Divorced,6,0,0.0,2.0,0.0,142.98,1,0,0,2.0,1,142.98,0.0,0,0,2.2,0.25
50077,0,22.0,Male,3.0,2,Married,2,1,0.0,1.0,7.0,168.04,1,1,0,0.043478260869565216,1,7.306086956521739,0.0,0,1,1.8,0.45
50078,0,7.0,Male,2.0,3,Married,2,1,2.0,2.0,0.0,138.15,1,1,0,0.25,1,17.26875,0.6666666666666666,0,1,2.0,0.45
50079,0,13.0,Male,3.0,2,Divorced,9,1,1.0,3.0,7.0,127.41,1,0,0,0.21428571428571427,0,9.100714285714286,0.25,0,1,3.4000000000000004,0.2
50080,1,1.0,Male,3.0,5,Divorced,8,1,0.0,1.0,0.0,166.73,1,0,0,0.5,1,83.365,0.0,0,1,2.4000000000000004,0.45
50081,1,0.0,Female,2.0,2,Divorced,2,0,1.0,1.0,9.0,176.39,0,0,0,1.0,1,176.39,0.5,0,1,1.5000000000000002,0.45
50082,0,0.0,Male,2.0,4,Married,2,1,0.0,2.0,2.0,123.28,1,1,0,2.0,1,123.28,0.0,0,1,1.8,0.45
50083,0,9.0,Female,3.0,2,Single,2,0,1.0,1.0,7.0,121.53,0,2,0,0.1,1,12.153,0.5,0,1,1.9000000000000001,0.45
50084,0,13.0,Male,3.0,2,Divorced,10,0,1.0,1.0,2.0,148.76,1,0,0,0.07142857142857142,1,10.625714285714285,0.5,0,1,2.7,0.45
50085,0,19.0,Male,3.0,5,Married,8,0,0.0,1.0,3.0,193.96,1,1,0,0.05,1,9.698,0.0,0,0,2.4000000000000004,0.25
50086,1,0.0,Male,2.0,2,Divorced,2,0,7.0,9.0,8.0,204.0,1,0,0,9.0,0,204.0,0.7,0,1,5.300000000000001,0.2
50087,0,3.0,Male,2.0,3,Single,2,0,2.0,5.0,8.0,184.74,1,2,0,1.25,0,46.185,0.3333333333333333,0,0,3.2,0.0
50088,0,0.0,Female,2.0,3,Single,2,0,1.0,1.0,7.0,199.81,0,2,0,1.0,1,199.81,0.5,0,0,1.5000000000000002,0.25
50089,0,24.0,Male,2.0,4,Divorced,6,0,1.0,4.0,3.0,224.9,1,0,0,0.16,0,8.996,0.2,0,0,3.1000000000000005,0.0
50090,1,0.0,Female,2.0,5,Single,6,1,1.0,1.0,4.0,126.57,0,2,0,1.0,1,126.57,0.5,0,1,1.9000000000000004,0.45
50091,0,14.0,Female,3.0,2,Single,4,1,0.0,2.0,0.0,235.91,0,2,0,0.13333333333333333,1,15.727333333333332,0.0,0,1,2.4,0.45
50092,1,0.0,Female,2.0,5,Single,6,0,0.0,1.0,1.0,166.96,0,2,0,1.0,1,166.96,0.0,0,0,1.8000000000000003,0.25
50093,1,9.0,Male,2.0,3,Single,1,0,0.0,1.0,5.0,120.58,1,2,0,0.1,1,12.058,0.0,0,0,1.3000000000000003,0.25
50094,0,18.0,Female,2.0,2,Single,7,0,12.0,12.0,8.0,188.65,0,2,0,0.631578947368421,0,9.928947368421053,0.9230769230769231,0,1,7.500000000000001,0.2
50095,0,27.0,Female,2.0,5,Divorced,3,0,1.0,1.0,5.0,159.4,0,0,0,0.03571428571428571,1,5.692857142857143,0.5,0,0,1.6000000000000003,0.25
50096,0,9.0,Male,3.0,4,Single,9,0,0.0,3.0,7.0,159.14,1,2,0,0.3,0,15.913999999999998,0.0,0,0,3.3000000000000003,0.0
50097,0,6.0,Female,2.0,4,Divorced,7,0,0.0,1.0,1.0,126.22,0,0,0,0.14285714285714285,1,18.03142857142857,0.0,0,0,1.9000000000000004,0.25
50098,0,10.0,Male,2.0,2,Married,2,1,0.0,1.0,3.0,221.85,1,1,0,0.09090909090909091,1,20.168181818181818,0.0,0,1,1.4000000000000001,0.45
50099,0,11.0,Male,3.0,3,Married,1,0,1.0,5.0,13.0,206.09,1,1,1,0.4166666666666667,0,17.174166666666668,0.16666666666666666,0,0,3.4000000000000004,0.3
50100,0,4.0,Male,2.0,3,Divorced,1,0,1.0,1.0,4.0,143.45,1,0,0,0.2,1,28.689999999999998,0.5,0,0,1.4000000000000004,0.25
50101,0,9.0,Male,3.0,2,Divorced,4,0,0.0,1.0,0.0,121.77,1,0,0,0.1,1,12.177,0.0,0,1,2.0,0.45
50102,0,10.0,Male,2.0,2,Married,5,0,1.0,5.0,8.0,0.0,1,1,0,0.45454545454545453,0,0.0,0.16666666666666666,0,1,3.4,0.2
50103,0,2.0,Female,2.0,2,Divorced,2,0,4.0,4.0,1.0,179.18,0,0,0,1.3333333333333333,0,59.72666666666667,0.8,0,1,3.0000000000000004,0.2
50104,0,8.0,Female,3.0,3,Single,2,0,1.0,1.0,8.0,187.89,0,2,0,0.1111111111111111,1,20.876666666666665,0.5,0,0,1.9000000000000001,0.25
50105,1,0.0,Male,2.0,2,Single,2,1,0.0,1.0,1.0,123.89,1,2,0,1.0,1,123.89,0.0,0,1,1.4000000000000001,0.45
50106,0,25.0,Female,2.0,2,Single,8,0,0.0,2.0,2.0,132.12,0,2,0,0.07692307692307693,1,5.081538461538462,0.0,0,1,2.4000000000000004,0.45
50107,0,15.0,Male,2.0,2,Divorced,2,0,0.0,11.0,15.0,292.32,1,0,1,0.6875,0,18.27,0.0,0,1,5.4,0.5
50108,0,9.0,Male,2.0,3,Divorced,9,0,2.0,2.0,2.0,122.67,1,0,0,0.2,1,12.267,0.6666666666666666,0,0,2.7,0.25
50109,0,23.0,Female,3.0,2,Married,4,0,1.0,1.0,6.0,295.17,0,1,0,0.041666666666666664,1,12.29875,0.5,0,1,2.1,0.45
50110,1,0.0,Male,2.0,2,Divorced,6,1,0.0,1.0,4.0,124.36,1,0,0,1.0,1,124.36,0.0,0,1,1.8000000000000003,0.45
50111,0,16.0,Female,3.0,2,Divorced,6,1,0.0,2.0,9.0,260.64,0,0,0,0.11764705882352941,1,15.331764705882351,0.0,0,1,2.6,0.45
50112,1,0.0,Female,3.0,5,Divorced,8,0,1.0,1.0,7.0,127.07,0,0,0,1.0,1,127.07,0.5,0,0,2.5000000000000004,0.25
50113,0,25.0,Male,3.0,3,Single,2,1,1.0,15.0,12.0,290.68,1,2,1,0.5769230769230769,0,11.18,0.0625,0,1,7.5,0.5
50114,0,5.0,Female,2.0,4,Divorced,3,0,1.0,1.0,2.0,139.31,0,0,0,0.16666666666666666,1,23.218333333333334,0.5,0,0,1.6000000000000003,0.25
50115,1,0.0,Male,3.0,3,Single,1,1,1.0,1.0,2.0,137.3,1,2,0,1.0,1,137.3,0.5,0,1,1.8000000000000003,0.45
50116,0,9.0,Female,3.0,3,Married,8,0,0.0,1.0,2.0,122.32,0,1,0,0.1,1,12.232,0.0,0,0,2.4000000000000004,0.25
50117,0,5.0,Male,3.0,2,Divorced,1,0,1.0,2.0,2.0,144.65,1,0,0,0.3333333333333333,1,24.108333333333334,0.3333333333333333,0,1,2.2,0.45
50118,0,14.0,Male,3.0,5,Married,3,0,1.0,1.0,0.0,130.72,1,1,0,0.06666666666666667,1,8.714666666666666,0.5,0,0,2.0,0.25
50119,0,13.0,Male,3.0,2,Married,2,0,2.0,4.0,7.0,133.19,1,1,0,0.2857142857142857,0,9.513571428571428,0.4,0,1,3.2000000000000006,0.2
50120,0,18.0,Male,3.0,2,Divorced,1,0,1.0,1.0,7.0,292.02,1,0,0,0.05263157894736842,1,15.369473684210526,0.5,0,1,1.8000000000000003,0.45
50121,0,4.0,Male,3.0,3,Married,10,0,1.0,2.0,2.0,236.75,1,1,0,0.4,1,47.35,0.3333333333333333,0,0,3.1,0.25
50122,0,6.0,Female,3.0,2,Divorced,2,0,0.0,1.0,2.0,129.11,0,0,0,0.14285714285714285,1,18.444285714285716,0.0,0,1,1.8,0.45
50123,0,7.0,Male,2.0,5,Divorced,7,0,0.0,5.0,9.0,159.57,1,0,0,0.625,0,19.94625,0.0,0,0,3.5,0.0
50124,0,10.0,Female,2.0,5,Divorced,3,0,1.0,1.0,2.0,139.2,0,0,0,0.09090909090909091,1,12.654545454545454,0.5,0,0,1.6000000000000003,0.25
50125,0,18.0,Male,3.0,3,Divorced,5,0,0.0,1.0,2.0,164.34,1,0,0,0.05263157894736842,1,8.649473684210527,0.0,0,0,2.1,0.25
50126,1,0.0,Male,3.0,3,Married,7,0,1.0,1.0,0.0,200.48,1,1,0,1.0,1,200.48,0.5,0,0,2.4000000000000004,0.25
50127,0,12.0,Female,3.0,3,Single,1,0,10.0,11.0,3.0,209.38,0,2,0,0.8461538461538461,0,16.106153846153845,0.8333333333333334,0,0,6.7,0.0
50128,0,2.0,Male,2.0,2,Single,2,0,0.0,1.0,5.0,123.4,1,2,0,0.3333333333333333,1,41.13333333333333,0.0,0,1,1.4000000000000001,0.45
50129,0,15.0,Female,2.0,5,Single,4,1,0.0,1.0,2.0,165.45,0,2,0,0.0625,1,10.340625,0.0,0,1,1.6,0.45
50130,0,2.0,Male,2.0,2,Married,3,0,1.0,1.0,2.0,169.31,1,1,0,0.3333333333333333,1,56.43666666666667,0.5,0,1,1.6000000000000003,0.45
50131,0,0.0,Female,3.0,3,Divorced,1,0,1.0,1.0,2.0,148.98,0,0,0,1.0,1,148.98,0.5,0,0,1.8000000000000003,0.25
50132,0,15.0,Female,2.0,5,Married,1,1,4.0,7.0,8.0,125.93,0,1,0,0.4375,0,7.870625,0.5,0,1,4.1000000000000005,0.2
50133,0,13.0,Male,2.0,3,Married,1,0,0.0,3.0,9.0,294.36,1,1,0,0.21428571428571427,0,21.025714285714287,0.0,0,0,2.1,0.0
50134,0,24.0,Male,3.0,2,Divorced,2,0,1.0,1.0,0.0,127.23,1,0,0,0.04,1,5.0892,0.5,0,1,1.9000000000000001,0.45
50135,1,0.0,Male,3.0,4,Single,1,0,1.0,1.0,4.0,134.79,1,2,0,1.0,1,134.79,0.5,0,0,1.8000000000000003,0.25
50136,0,5.0,Male,3.0,4,Divorced,2,0,0.0,1.0,3.0,127.94,1,0,0,0.16666666666666666,1,21.323333333333334,0.0,0,0,1.8,0.25
50137,0,11.0,Male,2.0,2,Divorced,4,0,6.0,7.0,5.0,152.49,1,0,0,0.5833333333333334,0,12.707500000000001,0.75,0,1,4.600000000000001,0.2
50138,0,9.0,Male,2.0,5,Single,5,0,0.0,1.0,4.0,121.76,1,2,0,0.1,1,12.176,0.0,0,0,1.7000000000000002,0.25
50139,0,19.0,Female,3.0,4,Divorced,4,1,1.0,7.0,7.0,268.72,0,0,0,0.35,0,13.436000000000002,0.125,0,1,4.5,0.2
50140,1,0.0,Male,3.0,3,Single,3,0,1.0,1.0,0.0,134.85,1,2,0,1.0,1,134.85,0.5,0,0,2.0,0.25
50141,0,2.0,Male,3.0,4,Divorced,3,0,0.0,1.0,0.0,166.44,1,0,0,0.3333333333333333,1,55.48,0.0,0,0,1.9000000000000001,0.25
50142,0,4.0,Male,3.0,2,Divorced,1,0,1.0,7.0,8.0,155.82,1,0,0,1.4,0,31.163999999999998,0.125,0,1,4.199999999999999,0.2
50143,0,0.0,Male,2.0,5,Married,2,0,1.0,1.0,5.0,140.0,1,1,0,1.0,1,140.0,0.5,0,0,1.5000000000000002,0.25
50144,0,18.0,Male,3.0,2,Divorced,1,1,0.0,2.0,10.0,234.96,1,0,0,0.10526315789473684,1,12.366315789473685,0.0,0,1,2.1,0.45
50145,0,9.0,Male,2.0,2,Divorced,1,0,4.0,10.0,11.0,132.1,1,0,1,1.0,0,13.209999999999999,0.36363636363636365,0,1,5.3,0.5
50146,0,28.0,Male,2.0,5,Single,1,1,1.0,4.0,13.0,290.45,1,2,1,0.13793103448275862,0,10.01551724137931,0.2,0,1,2.6000000000000005,0.5
50147,1,10.0,Male,2.0,4,Divorced,2,1,5.0,9.0,3.0,218.49,1,0,0,0.8181818181818182,0,19.862727272727273,0.5,0,1,5.1000000000000005,0.2
50148,0,9.0,Male,3.0,2,Divorced,2,0,1.0,1.0,4.0,120.7,1,0,0,0.1,1,12.07,0.5,0,1,1.9000000000000001,0.45
50149,0,10.0,Male,3.0,2,Divorced,5,0,0.0,1.0,1.0,165.02,1,0,0,0.09090909090909091,1,15.001818181818182,0.0,0,1,2.1,0.45
50150,0,0.0,Male,3.0,3,Single,2,0,1.0,1.0,0.0,132.3,1,2,0,1.0,1,132.3,0.5,0,0,1.9000000000000001,0.25
50151,0,10.0,Female,0.0,2,Married,3,1,0.0,2.0,2.0,236.03,0,1,0,0.18181818181818182,1,21.457272727272727,0.0,1,1,1.1,0.7
50152,0,2.0,Female,3.0,4,Married,8,0,5.0,6.0,3.0,219.96,0,1,0,2.0,0,73.32000000000001,0.7142857142857143,0,0,4.9,0.0
50153,0,11.0,Female,2.0,5,Married,2,1,0.0,7.0,7.0,156.05,0,1,0,0.5833333333333334,0,13.004166666666668,0.0,0,1,3.8000000000000007,0.2
50154,0,0.0,Female,2.0,4,Married,2,0,0.0,1.0,4.0,163.97,0,1,0,1.0,1,163.97,0.0,0,0,1.4000000000000001,0.25
50155,0,23.0,Male,3.0,4,Married,4,0,1.0,1.0,6.0,291.44,1,1,0,0.041666666666666664,1,12.143333333333333,0.5,0,0,2.1,0.25
50156,0,26.0,Male,2.0,3,Divorced,4,1,1.0,1.0,3.0,275.84,1,0,0,0.037037037037037035,1,10.216296296296296,0.5,0,1,1.7000000000000002,0.45
50157,0,15.0,Male,2.0,3,Divorced,2,0,4.0,11.0,6.0,149.07,1,0,0,0.6875,0,9.316875,0.3333333333333333,0,0,5.800000000000001,0.0
50158,0,2.0,Male,2.0,2,Single,2,0,0.0,1.0,9.0,145.54,1,2,0,0.3333333333333333,1,48.51333333333333,0.0,0,1,1.4000000000000001,0.45
50159,0,28.0,Male,2.0,2,Divorced,4,1,1.0,1.0,8.0,154.15,1,0,0,0.034482758620689655,1,5.31551724137931,0.5,0,1,1.7000000000000002,0.45
50160,0,0.0,Male,2.0,5,Divorced,2,1,2.0,3.0,3.0,147.41,1,0,0,3.0,0,147.41,0.5,0,1,2.4000000000000004,0.2
50161,0,9.0,Female,2.0,2,Single,2,0,1.0,5.0,7.0,121.15,0,2,0,0.5,0,12.115,0.16666666666666666,0,1,3.1,0.2
50162,1,7.0,Male,3.0,3,Married,4,1,0.0,1.0,0.0,131.61,1,1,0,0.125,1,16.45125,0.0,0,1,2.0,0.45
50163,0,11.0,Male,2.0,2,Married,10,0,0.0,1.0,2.0,157.45,1,1,0,0.08333333333333333,1,13.120833333333332,0.0,0,1,2.2,0.45
50164,1,0.0,Male,2.0,4,Married,3,1,1.0,1.0,2.0,123.73,1,1,0,1.0,1,123.73,0.5,0,1,1.6000000000000003,0.45
50165,0,1.0,Female,3.0,2,Single,2,0,0.0,1.0,2.0,133.1,0,2,0,0.5,1,66.55,0.0,0,1,1.8,0.45
50166,0,22.0,Female,2.0,5,Single,10,1,1.0,1.0,2.0,286.65,0,2,0,0.043478260869565216,1,12.463043478260868,0.5,0,1,2.3000000000000003,0.45
50167,0,9.0,Male,1.0,4,Single,5,0,6.0,7.0,7.0,144.85,1,2,0,0.7,0,14.485,0.75,1,0,4.300000000000001,0.25
